,word,Model,snr_gaussian,snr_white,freq_group
286,mono,FacebookTTS,-26.458236342804277,-21.655536419622997,High
287,cuchillo,FacebookTTS,-25.33658135234875,-20.559331931927424,High
288,si,FacebookTTS,-40.77160584515556,-36.091560750658644,
289,za,FacebookTTS,-50.57569428293906,-45.67406933814998,
290,nu,FacebookTTS,-40.426850360751075,-35.7253381213374,
291,cinriz,FacebookTTS,-26.82180994346561,-22.082210664318186,pseudoword
292,fe,FacebookTTS,-30.266280689437277,-25.677340207702738,
293,trompeta,FacebookTTS,-24.684988372005353,-19.90589361907126,Low
294,león,FacebookTTS,-24.624932408583383,-19.869100411907226,High
295,celafo,FacebookTTS,-21.816336276931843,-17.07216291813774,pseudoword
296,nareflor,FacebookTTS,-20.7792006785121,-16.037753477682394,pseudoword
297,lesorón,FacebookTTS,-22.19767600670719,-17.369641956120645,pseudoword
298,pi,FacebookTTS,-56.76469313355906,-52.07743278426507,
299,ka,FacebookTTS,-57.298836396808625,-52.62640323266902,
300,cambopla,FacebookTTS,-21.78939902668275,-17.001476572279596,pseudoword
301,cuterrino,FacebookTTS,-21.339298957710152,-16.602061808712435,pseudoword
302,to,FacebookTTS,-61.90736982432241,-57.0938066143824,
303,caballo,FacebookTTS,-23.673858713866956,-18.893019628799117,High
304,plato,FacebookTTS,-23.992541338766816,-19.175530143471814,High
305,da,FacebookTTS,-49.84272209547038,-45.15381818275011,
306,oreja ,FacebookTTS,-25.19156028689674,-20.39996333331051,High
307,sanceps,FacebookTTS,-23.292602249906885,-18.590518331682805,pseudoword
308,gatulón,FacebookTTS,-21.55001472457986,-16.81264996496667,pseudoword
309,cho,FacebookTTS,-38.97946713052712,-34.134583225625065,
310,ponca,FacebookTTS,-26.085646902840686,-21.30519754308815,pseudoword
311,pialle,FacebookTTS,-23.987444156195558,-19.258201411126592,pseudoword
312,ni,FacebookTTS,-43.705883102249174,-39.025583418261924,
313,be,FacebookTTS,-32.16601866635007,-27.36924374141495,
314,brócoli,FacebookTTS,-23.96810072443148,-19.267291739507403,Low
315,taza,FacebookTTS,-34.39722254112326,-29.640691186227073,High
316,ke,FacebookTTS,-33.35014726716428,-28.64215804708043,
317,ji,FacebookTTS,-49.0274666730872,-44.27082812747379,
318,hompirra,FacebookTTS,-22.30621365110698,-17.520287340162206,pseudoword
319,chi,FacebookTTS,-37.23521645494883,-32.479992001648405,
320,hiena,FacebookTTS,-25.242000976183142,-20.5710997823922,Low
321,rodilla ,FacebookTTS,-22.44141312074519,-17.7013446407198,High
322,esmi,FacebookTTS,-31.36275629973667,-26.580675142156327,pseudoword
323,rre,FacebookTTS,-45.05231312506005,-40.40500662176016,
324,ño,FacebookTTS,-40.98855263801888,-36.295496813398586,
325,je,FacebookTTS,-29.933415057478502,-25.14313567915596,
326,ochaja,FacebookTTS,-31.052003033760805,-26.37872955947479,pseudoword
327,gi,FacebookTTS,-21.04121889890787,-16.318645483578077,
328,ja,FacebookTTS,-50.39303710282461,-45.68412836744131,
329,tu,FacebookTTS,-60.369996084427164,-55.653625563352364,
330,rri,FacebookTTS,-34.760542074089116,-29.959374124462354,
331,bo,FacebookTTS,-50.55897066820321,-45.78044903663912,
332,meñique,FacebookTTS,-20.26272175837491,-15.522800682825258,Low
333,mebro,FacebookTTS,-26.74259532201198,-21.976553555207175,pseudoword
334,talón ,FacebookTTS,-23.158791397012422,-18.325889998172038,Low
335,mancrose,FacebookTTS,-22.20031073931619,-17.33987624613089,pseudoword
336,ko,FacebookTTS,-51.47614671684551,-46.6133574477115,
337,foca,FacebookTTS,-31.18357967643292,-26.345406327475295,Low
338,do,FacebookTTS,-41.62872446222935,-36.897403403247516,
339,me,FacebookTTS,-33.52345266476644,-28.763716222865572,
340,cebolla ,FacebookTTS,-23.777840820317092,-18.989001965681403,High
341,ru,FacebookTTS,-35.994250379710635,-31.315562889712304,
342,lo,FacebookTTS,-31.831091005259267,-27.03174231828033,
343,pu,FacebookTTS,-46.527962715280864,-41.75408863910576,
344,tomate ,FacebookTTS,-23.19348414307132,-18.421891341861738,High
345,ti,FacebookTTS,-59.298700556284416,-54.42259026578368,
346,mi,FacebookTTS,-41.93088869618766,-37.2337586320602,
347,lle,FacebookTTS,-36.258229290592176,-31.470090324511254,
348,no,FacebookTTS,-40.44812754169028,-35.6757448036218,
349,ku,FacebookTTS,-56.61784770871869,-51.79228160767031,
350,cladi,FacebookTTS,-33.25719697398028,-28.421701638767935,pseudoword
351,campana,FacebookTTS,-24.244930976007474,-19.390318075201613,High
352,zapato,FacebookTTS,-23.721837156324945,-18.93157218895159,High
353,hombro,FacebookTTS,-22.574695023332673,-17.854284558107363,High
354,llu,FacebookTTS,-29.495456338335714,-24.668442306477047,
355,so,FacebookTTS,-59.510597736988366,-54.63845290405848,
356,bíceps,FacebookTTS,-20.7632024833312,-15.92989026568409,Low
357,búho,FacebookTTS,-24.349635838608567,-19.53659319283632,Low
358,ta,FacebookTTS,-67.37196904975508,-62.559237734912244,
359,yo,FacebookTTS,-58.05224078769694,-53.23361859439467,
360,boina,FacebookTTS,-19.6166096407476,-14.81531543305896,Low
361,tajonella,FacebookTTS,-24.863753279314267,-20.057202194062693,pseudoword
362,loñiría,FacebookTTS,-20.15787528227911,-15.434264140586542,pseudoword
363,rochiqueón,FacebookTTS,-24.039883139754682,-19.276479075988917,pseudoword
364,jo,FacebookTTS,-54.89700970846858,-50.08485563121572,
365,vaso,FacebookTTS,-25.34824817651876,-20.586316292576488,High
366,la,FacebookTTS,-26.999724050641746,-22.311609406046088,
367,ojo ,FacebookTTS,-40.44386902963966,-35.71062251626168,High
368,arpa ,FacebookTTS,-40.02747647417302,-35.274814855391725,Low
369,bolso,FacebookTTS,-25.887331211065113,-21.06689274197237,High
370,guidía,FacebookTTS,-21.13309129533951,-16.32516333708338,pseudoword
371,sartén,FacebookTTS,-22.47348836148173,-17.68866633289239,High
